"BusID";"BusNumber";"BusDirection";"RecPercentage";"AverageSpeed"
"153";"601";"North";"500";"44"
"154";"601";"South";"454";"36"
"155";"601";"South";"671";"28"
"156";"602";"South";"41";"30"
"157";"602";"North";"762";"43"
"158";"602";"North";"218";"32"
"159";"602";"North";"309";"40"
"160";"602";"South";"194";"42"
"161";"603";"North";"191";"44"
"162";"603";"South";"709";"27"
"163";"603";"North";"639";"36"
"164";"603";"South";"519";"35"
"165";"603";"South";"618";"20"
"166";"604";"South";"493";"36"
"167";"604";"South";"209";"39"
"168";"604";"North";"921";"26"
"169";"604";"North";"669";"23"
"170";"604";"South";"984";"25"
"171";"605";"North";"298";"42"
"172";"605";"North";"887";"32"
"173";"605";"North";"251";"26"
"174";"605";"North";"435";"20"
"175";"605";"North";"79";"35"
"176";"606";"South";"882";"33"
"177";"606";"South";"984";"27"
"178";"606";"North";"327";"33"
"179";"606";"South";"73";"41"
"180";"606";"South";"398";"33"
"181";"701";"South";"948";"31"
"182";"701";"North";"172";"21"
"183";"701";"North";"681";"42"
"184";"701";"North";"422";"22"
"185";"701";"North";"159";"40"
"186";"702";"North";"253";"20"
"187";"702";"South";"116";"27"
"188";"702";"South";"668";"40"
"189";"702";"South";"343";"31"
"190";"702";"South";"661";"37"
"191";"703";"North";"94";"23"
"192";"703";"South";"307";"41"
"193";"703";"North";"864";"21"
"194";"703";"North";"185";"27"
"195";"703";"North";"386";"31"
"196";"704";"North";"139";"34"
"197";"704";"South";"990";"27"
"198";"704";"North";"139";"40"
"199";"704";"South";"539";"35"
"200";"704";"South";"279";"43"
"201";"705";"North";"141";"37"
"202";"705";"North";"84";"33"
"203";"705";"North";"1";"30"
"204";"705";"South";"290";"22"
"205";"705";"North";"295";"31"
"206";"706";"South";"638";"23"
"207";"706";"South";"311";"31"
"208";"706";"South";"522";"34"
"209";"706";"North";"370";"29"
"210";"706";"North";"96";"29"
"211";"801";"North";"82";"38"
"212";"801";"North";"986";"33"
"213";"801";"North";"112";"31"
"214";"801";"North";"536";"38"
"215";"801";"South";"161";"34"
"216";"802";"North";"555";"25"
"217";"802";"South";"873";"36"
"218";"802";"North";"295";"31"
"219";"802";"South";"578";"24"
"220";"802";"South";"606";"28"
"221";"803";"South";"529";"39"
"222";"803";"North";"322";"32"
"223";"803";"South";"747";"35"
"224";"803";"North";"312";"23"
"225";"803";"North";"843";"30"
"226";"804";"North";"840";"30"
"227";"804";"South";"804";"37"
"228";"804";"South";"830";"20"
"229";"804";"North";"656";"40"
"230";"804";"South";"35";"37"
"231";"805";"North";"998";"45"
"232";"805";"South";"419";"21"
"233";"805";"North";"493";"28"
"234";"805";"North";"122";"43"
"235";"805";"South";"662";"29"
"236";"806";"North";"222";"33"
"237";"806";"North";"447";"25"
"238";"806";"South";"82";"44"
"239";"806";"North";"506";"29"
"240";"806";"South";"938";"45"
"241";"901";"South";"622";"31"
"242";"901";"North";"731";"27"
"243";"901";"North";"787";"40"
"244";"901";"South";"5";"22"
"245";"901";"South";"848";"41"
"246";"902";"South";"365";"25"
"247";"902";"South";"292";"43"
"248";"902";"North";"73";"43"
"249";"902";"South";"990";"24"
"250";"902";"North";"305";"20"
"251";"903";"South";"90";"43"
"252";"903";"North";"647";"25"
"253";"903";"North";"820";"25"
"254";"903";"South";"939";"41"
"255";"903";"South";"562";"30"
"256";"904";"South";"617";"33"
"257";"904";"North";"182";"28"
"258";"904";"North";"601";"26"
"259";"904";"North";"435";"29"
"260";"904";"South";"170";"43"
"261";"905";"North";"30";"22"
"262";"905";"South";"632";"38"
"263";"905";"North";"296";"28"
"264";"905";"South";"143";"26"
"265";"905";"North";"880";"23"
"266";"906";"South";"342";"21"
"267";"906";"South";"425";"28"
"268";"906";"North";"289";"39"
"269";"906";"South";"239";"42"
"270";"906";"North";"336";"28"
